nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[   275] loss=-2.2674 | res=2.70e-02 | grad=6.85e-01 | 1.1s
[   276] loss=-2.0674 | res=2.89e-02 | grad=6.78e-01 | 1.0s
[   277] loss=-2.3802 | res=2.11e-02 | grad=3.68e-01 | 1.1s
[   278] loss=-2.3562 | res=2.69e-02 | grad=4.03e-01 | 1.1s
[   279] loss=-2.2922 | res=2.30e-02 | grad=5.13e-01 | 1.1s
[   280] loss=-2.3772 | res=3.07e-02 | grad=8.02e-01 | 1.0s
[   281] loss=-2.4221 | res=2.32e-02 | grad=8.81e-01 | 1.0s
[   282] loss=-2.3029 | res=2.05e-02 | grad=5.80e-01 | 1.1s
[   283] loss=-2.3174 | res=2.42e-02 | grad=6.37e-01 | 1.0s
[   284] loss=-2.2419 | res=2.62e-02 | grad=2.77e-01 | 1.1s
[   285] loss=-2.3613 | res=2.10e-02 | grad=3.27e-01 | 1.1s
[   286] loss=-2.2408 | res=2.08e-02 | grad=4.24e-01 | 1.1s
[   287] loss=-2.3167 | res=3.05e-02 | grad=4.76e-01 | 1.0s
[   288] loss=-2.3763 | res=2.61e-02 | grad=1.27e-01 | 1.0s
[   289] loss=-2.0609 | res=2.31e-02 | grad=7.56e-01 | 1.1s
[   290] loss=-2.2530 | res=2.93e-02 | grad=4.64e-01 | 1.1s
[   291] loss=-2.4104 | res=1.68e-02 | grad=6.92e-01 | 1.1s
[   292] loss=-2.3315 | res=2.61e-02 | grad=1.95e-01 | 1.0s
[   293] loss=-2.2687 | res=2.79e-02 | grad=3.38e-01 | 1.0s
[   294] loss=-2.1718 | res=2.33e-02 | grad=6.94e-01 | 1.1s
