nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[   227] loss=-0.2209 | res=1.01e-05 | grad=3.21e-01 | 1.2s
[   228] loss=-0.2101 | res=2.56e-06 | grad=4.77e-01 | 1.2s
[   229] loss=-0.2212 | res=9.07e-05 | grad=3.96e-01 | 1.2s
[   230] loss=-0.2171 | res=7.64e-08 | grad=4.36e-01 | 1.2s
[   231] loss=-0.2144 | res=5.33e-06 | grad=3.65e-01 | 1.2s
[   232] loss=-0.2175 | res=5.44e-08 | grad=4.34e-01 | 1.2s
[   233] loss=-0.2075 | res=7.61e-08 | grad=2.90e-01 | 1.2s
[   234] loss=-0.1975 | res=7.52e-06 | grad=4.36e-01 | 1.2s
[   235] loss=-0.2515 | res=5.35e-08 | grad=7.96e-01 | 1.2s
[   236] loss=-0.2128 | res=9.22e-06 | grad=3.79e-01 | 1.2s
[   237] loss=-0.2152 | res=6.50e-06 | grad=4.02e-01 | 1.2s
[   238] loss=-0.1846 | res=2.19e-05 | grad=5.99e-01 | 1.2s
[   239] loss=-0.2157 | res=9.39e-06 | grad=5.52e-01 | 1.2s
[   240] loss=-0.2268 | res=2.87e-05 | grad=4.30e-01 | 1.2s
[   241] loss=-0.2339 | res=9.74e-06 | grad=5.04e-01 | 1.2s
[   242] loss=-0.2128 | res=6.16e-08 | grad=5.10e-01 | 1.2s
[   243] loss=-0.2245 | res=6.59e-08 | grad=4.64e-01 | 1.2s
[   244] loss=-0.1980 | res=3.19e-07 | grad=4.95e-01 | 1.2s
[   245] loss=-0.2017 | res=6.38e-08 | grad=7.76e-01 | 1.2s
[   246] loss=-0.2030 | res=1.47e-05 | grad=6.24e-01 | 1.2s
[   247] loss=-0.2185 | res=4.06e-06 | grad=3.54e-01 | 1.2s
[   248] loss=-0.2207 | res=6.88e-08 | grad=5.41e-01 | 1.2s
[   249] loss=-0.1984 | res=5.16e-08 | grad=4.33e-01 | 1.2s
[   250] loss=-0.2069 | res=6.37e-08 | grad=4.55e-01 | 1.2s
[   251] loss=-0.2244 | res=4.73e-08 | grad=7.07e-01 | 1.2s
[   252] loss=-0.2077 | res=4.92e-05 | grad=4.43e-01 | 1.2s
[   253] loss=-0.2162 | res=5.12e-08 | grad=4.44e-01 | 1.2s
[   254] loss=-0.2143 | res=6.66e-08 | grad=5.32e-01 | 1.2s
[   255] loss=-0.1995 | res=2.55e-05 | grad=4.35e-01 | 1.2s
[   256] loss=-0.2101 | res=2.83e-05 | grad=7.20e-01 | 1.2s
[   257] loss=-0.2073 | res=4.02e-05 | grad=5.69e-01 | 1.2s
[   258] loss=-0.1721 | res=4.42e-05 | grad=8.40e-01 | 1.2s
[   259] loss=-0.2055 | res=1.14e-04 | grad=4.99e-01 | 1.2s
[   260] loss=-0.2270 | res=2.37e-06 | grad=5.65e-01 | 1.2s
[   261] loss=-0.2117 | res=4.49e-08 | grad=3.93e-01 | 1.2s
[   262] loss=-0.2246 | res=2.14e-05 | grad=5.43e-01 | 1.2s
[   263] loss=-0.2513 | res=4.80e-05 | grad=8.90e-01 | 1.2s
[   264] loss=-0.2286 | res=4.98e-08 | grad=3.86e-01 | 1.2s
[   265] loss=-0.2146 | res=6.10e-08 | grad=4.26e-01 | 1.2s
[   266] loss=-0.2022 | res=6.48e-08 | grad=7.05e-01 | 1.2s
[   267] loss=-0.2082 | res=2.85e-05 | grad=4.92e-01 | 1.2s
[   268] loss=-0.2001 | res=5.64e-08 | grad=5.97e-01 | 1.2s
[   269] loss=-0.2221 | res=6.90e-08 | grad=4.15e-01 | 1.2s
[   270] loss=-0.2105 | res=1.81e-05 | grad=5.60e-01 | 1.2s
[   271] loss=-0.1899 | res=4.18e-08 | grad=5.80e-01 | 1.2s
[   272] loss=-0.1902 | res=3.43e-06 | grad=4.86e-01 | 1.2s
[   273] loss=-0.1964 | res=5.91e-06 | grad=4.04e-01 | 1.2s
[   274] loss=-0.2342 | res=4.34e-08 | grad=1.04e+00 | 1.2s
[   275] loss=-0.2148 | res=1.50e-05 | grad=6.95e-01 | 1.2s
[   276] loss=-0.2337 | res=4.57e-08 | grad=6.43e-01 | 1.2s
[   277] loss=-0.2002 | res=1.65e-05 | grad=5.76e-01 | 1.2s
[   278] loss=-0.2084 | res=6.13e-08 | grad=5.21e-01 | 1.2s
[   279] loss=-0.2429 | res=6.12e-08 | grad=3.99e-01 | 1.2s
[   280] loss=-0.1919 | res=5.33e-08 | grad=8.87e-01 | 1.2s
[   281] loss=-0.1898 | res=6.56e-08 | grad=7.71e-01 | 1.2s
[   282] loss=-0.2241 | res=2.21e-05 | grad=4.87e-01 | 1.2s
[   283] loss=-0.1961 | res=8.05e-08 | grad=5.28e-01 | 1.2s
[   284] loss=-0.2062 | res=5.36e-08 | grad=3.67e-01 | 1.2s
[   285] loss=-0.1883 | res=6.58e-08 | grad=3.88e-01 | 1.2s
[   286] loss=-0.2044 | res=1.11e-05 | grad=5.30e-01 | 1.2s
[   287] loss=-0.2118 | res=3.70e-06 | grad=7.19e-01 | 1.2s
[   288] loss=-0.2293 | res=1.50e-05 | grad=8.60e-01 | 1.2s
[   289] loss=-0.2310 | res=5.90e-08 | grad=7.54e-01 | 1.2s
[   290] loss=-0.2110 | res=5.13e-08 | grad=4.22e-01 | 1.2s
[   291] loss=-0.1943 | res=7.17e-08 | grad=5.80e-01 | 1.2s
[   292] loss=-0.2183 | res=5.97e-06 | grad=4.23e-01 | 1.2s
[   293] loss=-0.2066 | res=5.97e-08 | grad=4.79e-01 | 1.2s
[   294] loss=-0.2119 | res=5.56e-08 | grad=5.42e-01 | 1.2s
